,team_name,year,wins,losses,win_percent,goal_for,goal_against
585,New Jersey Devils,1990,32,33,0.4,272,264
586,New York Islanders,1990,25,45,0.312,223,290
587,New York Rangers,1990,36,31,0.45,297,265
588,Philadelphia Flyers,1990,33,37,0.412,252,267
589,Pittsburgh Penguins,1990,41,33,0.512,342,305
590,Quebec Nordiques,1990,16,50,0.2,236,354
591,St. Louis Blues,1990,47,22,0.588,310,250
592,Toronto Maple Leafs,1990,23,46,0.287,241,318
593,Vancouver Canucks,1990,28,43,0.35,243,315
594,Washington Capitals,1990,37,36,0.463,258,258
595,Winnipeg Jets,1990,26,43,0.325,260,288
596,Boston Bruins,1991,36,32,0.45,270,275
597,Buffalo Sabres,1991,31,37,0.388,289,299
598,Calgary Flames,1991,31,37,0.388,296,305
599,Chicago Blackhawks,1991,36,29,0.45,257,236
