,team_name,year,wins,losses,win_percent,goal_for,goal_against
306,Hartford Whalers,1990,31,38,0.388,238,276
307,Los Angeles Kings,1990,46,24,0.575,340,254
308,Minnesota North Stars,1990,27,39,0.338,256,266
309,Montreal Canadiens,1990,39,30,0.487,273,249
310,New Jersey Devils,1990,32,33,0.4,272,264
311,New York Islanders,1990,25,45,0.312,223,290
312,New York Rangers,1990,36,31,0.45,297,265
313,Philadelphia Flyers,1990,33,37,0.412,252,267
314,Pittsburgh Penguins,1990,41,33,0.512,342,305
315,Quebec Nordiques,1990,16,50,0.2,236,354
316,St. Louis Blues,1990,47,22,0.588,310,250
317,Toronto Maple Leafs,1990,23,46,0.287,241,318
318,Vancouver Canucks,1990,28,43,0.35,243,315
319,Washington Capitals,1990,37,36,0.463,258,258
320,Winnipeg Jets,1990,26,43,0.325,260,288
321,Boston Bruins,1991,36,32,0.45,270,275
322,Buffalo Sabres,1991,31,37,0.388,289,299
323,Calgary Flames,1991,31,37,0.388,296,305
324,Chicago Blackhawks,1991,36,29,0.45,257,236
325,Boston Bruins,1990,44,24,0.55,299,264
326,Buffalo Sabres,1990,31,30,0.388,292,278
327,Calgary Flames,1990,46,26,0.575,344,263
328,Chicago Blackhawks,1990,49,23,0.613,284,211
329,Detroit Red Wings,1990,34,38,0.425,273,298
330,Edmonton Oilers,1990,37,37,0.463,272,272
331,Hartford Whalers,1990,31,38,0.388,238,276
332,Los Angeles Kings,1990,46,24,0.575,340,254
333,Minnesota North Stars,1990,27,39,0.338,256,266
334,Montreal Canadiens,1990,39,30,0.487,273,249
335,New Jersey Devils,1990,32,33,0.4,272,264
336,New York Islanders,1990,25,45,0.312,223,290
337,New York Rangers,1990,36,31,0.45,297,265
338,Philadelphia Flyers,1990,33,37,0.412,252,267
339,Pittsburgh Penguins,1990,41,33,0.512,342,305
340,Quebec Nordiques,1990,16,50,0.2,236,354
341,St. Louis Blues,1990,47,22,0.588,310,250
342,Toronto Maple Leafs,1990,23,46,0.287,241,318
343,Vancouver Canucks,1990,28,43,0.35,243,315
344,Washington Capitals,1990,37,36,0.463,258,258
345,Winnipeg Jets,1990,26,43,0.325,260,288
346,Boston Bruins,1991,36,32,0.45,270,275
347,Buffalo Sabres,1991,31,37,0.388,289,299
